player_id,first_name,second_name,web_name,player_position,team_id,team_name,form,points_per_game,starts,minutes,goals_scored,assists,yellow_cards,red_cards,penalties_missed,own_goals,goals_conceded,saves,clean_sheets,penalties_saved,goals_per_90,assists_per_90,goals_conceded_per_90,saves_per_90,clean_sheets_per_90,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,ict_index,influence,creativity,threat,form_rank,form_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,points_per_game_rank,points_per_game_rank_type,total_points
1,Fábio,Ferreira Vieira,Fábio Vieira,Midfielder,1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,299,679,309,679,309,678,309,673,307,678,309,0
2,Gabriel,Fernando de Jesus,G.Jesus,Forward,1,Arsenal,0.8,0.7,2,227,0,0,4,0,0,0,2,0,1,0,0,0,0.79,0,0.4,0.87,0.12,0.99,2.44,0.34,0.05,0.39,0.97,16.9,24.4,63.6,82,264,31,278,31,361,35,212,28,150,31,455,48,8
3,Gabriel,dos Santos Magalhães,Gabriel,Defender,1,Arsenal,4.2,4.6,13,1088,3,1,1,0,0,0,13,0,4,0,0.248161765,0.082720588,1.08,0,0.33,1.76,0.5,2.26,12.5,0.15,0.04,0.19,1.03,59.7,313.4,68.2,215,29,4,64,10,29,8,203,54,52,1,28,2,60
4,Kai,Havertz,Havertz,Forward,1,Arsenal,1.8,4.3,12,1080,5,1,2,0,0,0,14,0,3,0,0.416666667,0.083333333,1.17,0,0.25,5.16,1.13,6.29,13.47,0.43,0.09,0.52,1.12,79.1,266.2,142.1,383,147,20,31,7,57,8,108,8,11,6,41,13,52
5,Karl,Hein,Hein,Goalkeeper,1,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,49,504,57,502,57,482,36,443,27,507,57,0
6,Jurriën,Timber,J.Timber,Defender,1,Arsenal,2.2,2.8,10,860,0,1,3,0,0,0,9,0,3,0,0,0.104651163,0.94,0,0.31,0.51,0.37,0.88,9.67,0.05,0.04,0.09,1.01,37.8,132.4,151.7,96,102,29,145,38,199,78,98,20,131,19,142,37,31
7,Jorge Luiz,Frello Filho,Jorginho,Midfielder,1,Arsenal,0.5,1.2,4,289,0,0,3,0,0,0,3,0,1,0,0,0,0.93,0,0.31,0.04,0.25,0.29,2.76,0.01,0.08,0.09,0.86,5.8,16.6,38.6,3,277,141,365,183,387,183,268,162,369,201,346,168,6
8,Jakub,Kiwior,Kiwior,Defender,1,Arsenal,0.5,0.8,0,143,0,0,0,0,0,0,4,0,0,0,0,0,2.52,0,0,0,0,0,4.07,0,0,0,2.56,2.7,26.2,1,0,286,85,401,134,358,128,415,148,630,226,445,147,5
9,Gabriel,Martinelli Silva,Martinelli,Midfielder,1,Arsenal,2,4.3,8,678,3,2,0,0,0,0,9,0,3,0,0.398230088,0.265486726,1.19,0,0.4,2.01,1.85,3.86,8.52,0.27,0.25,0.52,1.13,64,205.4,169.8,265,125,58,51,33,109,38,84,63,35,20,40,19,47
12,Ethan,Nwaneri,Nwaneri,Midfielder,1,Arsenal,1.8,1.7,0,65,1,0,0,0,0,0,0,0,0,0,1.384615385,0,0,0,0,0.15,0.19,0.34,0.71,0.21,0.26,0.47,0.98,12.1,51.2,28.5,41,132,59,311,151,316,153,294,174,231,131,276,126,12
